SKU,Item Name,Category,Subcategory,Measure Type,Base UOM,Reporting UOM,Inventory UOM,Cost Account,Inventory Account
"10332287N","Half & Half 32oz","dairy","","Volume","oz","oz","oz","5000","1400"
"10339083","Hot Dog Bun 1bun","bakery","","Each","ea","ea","bun","5000","1400"
"10355219","Gluten Free Pizza Crust 1each","bakery","","Each","ea","ea","each","5000","1400"
"10359","Cucumber, Hot House - Bev 1each","beverage","","Each","ea","ea","each","5000","1400"
"103605","Three Crab Fish Sauce 24oz","grocery","","Volume","oz","oz","oz","5000","1400"
"1036118-B12","Chateau Calon Segur 2009 750ml","wine","","Each","ea","ea","ea","5000","1400"
"1036144-B12","Chateau Ducru Beaucaillou 2008 750ml","wine","","Each","ea","ea","ea","5000","1400"
"1037350-B12","Chateau Cantemerle, Haut Medoc 2010 750ml","wine","","Each","ea","ea","ea","5000","1400"
"1038396-B12","Chateau Pichon Baron 2000 750ml","wine","","Each","ea","ea","ea","5000","1400"
"1039813-B06","Chateau Canon La Gaffeliere 2000 750ml","wine","","Each","ea","ea","ea","5000","1400"
"10404","EGG 15 DZ XLARGE LOOSE 1each","dairy","","Each","ea","ea","each","5000","1400"
"104063","White Cooking Wine 1L","grocery","","Volume","oz","oz","l","5000","1400"
"10441563","Coffee Cold Brew Nola 10.66fl.oz","beverage","","Volume","oz","oz","fl","5000","1400"
"10444772","Topo Chico 25.4oz","beverage","","Volume","oz","oz","oz","5000","1400"
"10444781","Topo Chico 12fl.oz","beverage","","Volume","oz","oz","fl","5000","1400"
"10456546N","Coffee Cold Brew Bright 8oz","beverage","","Volume","oz","oz","oz","5000","1400"
"10457362","Strawberry Cheesecake Gelato 5L","dairy","","Volume","oz","oz","l","5000","1400"
"10463666","Fruity Pebbles 15oz","grocery","","Volume","oz","oz","oz","5000","1400"
"10476758","Pepperoni 1lb","meat","","Volume","oz","oz","lb","5000","1400"
"10500113","Dijon Mustard, Whole Grain 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"10513504","Unsweetened Almond Milk 32oz","beverage","","Volume","oz","oz","oz","5000","1400"
"10517265","Salted Dulce de Leche Gelato 5L","dairy","","Volume","oz","oz","l","5000","1400"
"10547","Egg 12each","dairy","","Each","ea","ea","each","5000","1400"
"10600173","White Miso Paste 1kg","grocery","","Weight","oz","oz","kg","5000","1400"
"10613935N","Tamari Shoyu 1.8L","grocery","","Volume","oz","oz","l","5000","1400"
"10617143","Trailblazer Flour 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"10702997N","Yeast 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"10710971RP","Yams, Red Garnet 1lb","produce","","Volume","oz","oz","lb","5000","1400"
"10754931","Oat Milk 1L","beverage","","Volume","oz","oz","l","5000","1400"
"10761","Yamazaki 12yr 750ml","liquor","Whiskey","Each","ea","ea","ea","5000","1400"
"10763870","Pretzel Sticks 1each","grocery","","Each","ea","ea","each","5000","1400"
"10771925","Tomato, Whole Peeled 102oz","grocery","","Volume","oz","oz","oz","5000","1400"
"10772291 ","Organic Flour 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"10786852N","Mozzarella, Vegan, Shredded 1lb","dairy","","Volume","oz","oz","lb","5000","1400"
"10797050N","Bonito Flakes 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"10797113N","Furikake 300g","grocery","","Weight","oz","oz","g","5000","1400"
"10797130","Togarashi 300g","grocery","","Weight","oz","oz","g","5000","1400"
"10799637","Orzo 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"108131","Smith & Sheth, 'CRU', Chardonnay 2022 750ml","wine","","Each","ea","ea","ea","5000","1400"
