Vendor Item Number,Vendor,Item,Purchase U of M,Vendor Item Name,Each Amt,Contract Price,Acceptable Variance %,Primary,Contract Expiration
"0080008-01","","0080008-01","Each","Fish Bones 1lb",16,,,Y,
"0080013-01","","0080013-01","Each","Mussels P.E.I. 1lb",16,,,Y,
"0080017-01","","0080017-01","Case","Rock Cod Fillet 30lb",14.4,,,Y,
"0080065-01","","0080065-01","Each","Seabass 1lb",16,,,Y,
"0080084","","0080084","Each","Tilapia 1lb",16,,,Y,
"0081027-01","","0081027-01","Each","Shrimp 21/25 1lb",16,,,Y,
"0081194-01","","0081194-01","Each","Shrimp 16/20 1lb",16,,,Y,
"00816","","00816","Case","Cherry Tomato, Yellow 1each",12,,,Y,
"0082255-01","","0082255-01","Each","Tiger Prawn 1lb",16,,,Y,
"0083033-01","","0083033-01","Each","Littleneck Clams 1lb",16,,,Y,
"0083460-01","","0083460-01","Each","Salmon, Faroe Island 1lb",16,,,Y,
"0084111-01","","0084111-01","Each","Halibut 1lb",16,,,Y,
"00850","","00850","Each","Rosemary 1lb",16,,,Y,
"0086077-01","","0086077-01","Each","Hotaru Ika (Firefly Squid) 1lb",16,,,Y,
"0090071-01","","0090071-01","Each","Chicken Feet 1lb",16,,,Y,
"0090273-01","","0090273-01","Each","Duck Fat 1lb",16,,,Y,
"0090454-01","","0090454-01","Each","Duck Leg 1lb",16,,,Y,
"01040","","01040","Case","Blackberry BK 1Basket",12,,,Y,
"01120","","01120","Case","Fig, Black Mission 1each",12,,,Y,
"01684","","01684","Case","Chives - Food 4oz",8,,,Y,
"02101","","02101","Case","Curly Fries 1lb",480,,,Y,
"02223","","02223","Case","Lemon Sorbet 1gal",192,,,Y,
"02351","","02351","Case","Dill Pickle Chips 1gal",640,,,Y,
"02438","","02438","Case","Passionfruit Sorbet 1L",1.5,,,Y,
"02855","","02855","Each","YEAST-DRY ACTIVE 2lb",32,,,Y,
"03607","","03607","Case","Cream Cheese 1lb",48,,,Y,
"03903","","03903","Case","Parmesan 1lb",288,,,Y,
"0411717-01","","0411717-01","Each","Beef Slider, 2oz Patty 1lb",1,,,Y,
"04810","","04810","Each","White Wine Vinegar 1gal",128,,,Y,
"05567","","05567","Each","CHEESE-BERMUDA TRIANGLE (lbs) 1lb",16,,,Y,
"06036","","06036","Each","Mustard Seed 25oz",25,,,Y,
"06045","","06045","Each","Cumin 14oz",14,,,Y,
"06046","","06046","Each","Mustard Seed, Brown 27oz",27,,,Y,
"06299","","06299","Each","Lotus Root 1lb",16,,,Y,
"06461","","06461","Each","Micro Shiso, Red 1each",1,,,Y,
"06563","","06563","Case","Tempura Mix 1lb",480,,,Y,
"06794","","06794","Each","Micro Shiso 1each",1,,,Y,
"0701345-01","","0701345-01","Each","Outside Skirt 1lb",16,,,Y,
"07404","","07404","Case","Jumbo Asparagus 1lb",176,,,Y,
"0753624-01","","0753624-01","Each","Ground Turkey 1lb",16,,,Y,
"09287","","09287","Case","Farro Grain 1lb",192,,,Y,
"09551","","09551","Case","Blue Lake Bean 1lb",80,,,Y,
"09552","","09552","Case","Fava Bean 1lb",48,,,Y,
"09558","","09558","Case","Blueberries 1each",3,,,Y,
"09565","","09565","Case","Cabbage, Red 1each",3,,,Y,
"09585","","09585","Case","Eggplant 1each",3,,,Y,
"09596","","09596","Case","Parsley 1each",6,,,Y,
"10013","","10013","Case","Horseradish Root 1lb",48,,,Y,
"10025","","10025","Case","English Pea 1lb",48,,,Y,
"10028","","10028","Case","Bell Pepper, Green 1lb",32,,,Y,
"10039","","10039","Case","Sprouts, Daikon 1oz",2,,,Y,
"10042","","10042","Case","Zucchini Squash, Green 1lb",80,,,Y,
"10148","","10148","Case","Ginger - Food 1lb",32,,,Y,
"1036118-B12","","1036118-B12","Each","Chateau Calon Segur 2009 750ml",1,,,Y,
"1036144-B12","","1036144-B12","Each","Chateau Ducru Beaucaillou 2008 750ml",1,,,Y,
