Vendor Item Number,Vendor,Item,Purchase U of M,Vendor Item Name,Each Amt,Contract Price,Acceptable Variance %,Primary,Contract Expiration
"","","BARC000063","Bottle","Watermelon Juice 1gal",128,,,Y,
"","","BARC000064","Bottle","Watermelon Juice 3L",101.442,,,Y,
"993101","","BARC000065","Bottle","Zing Zang Sweet & Sour Mix 32fl.oz",25.3605,,,Y,
"993101","","BARC000065","Case","Zing Zang Sweet & Sour Mix 32fl.oz",192,,,N,
"BCD1101023","","BCD1101023","Case","Brocard, 'Ste Claire', Chablis 2023 750ml",12,,,Y,
"BCD1801022","","BCD1801022","Each","Brocard, 'Montee de Tonnerre', Chabliss 2022 750ml",1,,,Y,
"BCD1901023","","BCD1901023","Case","Brocard, 'Valourent', Chablis 2023 750ml",12,,,Y,
"A5-1","","BCD1901023","Bottle","Brocard, 'Valourent', Chablis 2023 750ml",1,,,N,
"BDM1002922","","BDM1002922","Case","Bonneau du Martray, Corton Charlemagne 2022 750ml",3,,,Y,
"600","","BKGENBAGUET","Each","Baguette 1each",1,,,Y,
"","","BKGENBIRTHD","Each","Birthday Cake Carol Cake $60 1each",1,,,Y,
"","","BKGENCIABAT","Each","Ciabatta 1loaf",1,,,Y,
"","","BKGENCUSTOM","Each","Custom Cake 1each",1,,,Y,
"","","BKGENFOCACC","Each","Focaccia 1each",1,,,Y,
"","","BKGENHOUSEB","Case","House Bread 1ct",1,,,Y,
"","","BKGENSESAME","Case","Sesame Sourdough 1each",2,,,Y,
"","","BOXPIZZA12IN","Bottle","Pizza Box 12in SBS",750,,,Y,
"BRG1001022","","BRG1001022","Bottle","Alain Graillot, Crozes Hermitage 2022 750ml",1,,,Y,
"","","BRGENMICHEL","Case","Michelob Ultra 12fl.oz",24,,,Y,
"BT914B","","BT914B","Case","I Stefanini, Soave 2024 750ml",12,,,Y,
"C02-4","","C024","Bottle","Brocard, 'Bougros', Chablis 2023 750ml",1,,,Y,
"","","CHEESEMOZZLB","Bottle","Mozzarella Cheese (lb)",750,,,Y,
"","","CODTEQANEJ","Bottle","Codigo Tequila Anejo",1,,,Y,
"","","CONT22RW76CB","Bottle","Continuum, Napa Red 2022 750ml",1,,,Y,
"CONT22RW76CB","","CONT22RW76CB","Case","Continuum, Napa Red 2022 750ml",6,,,N,
"","","CUPPET16OZ","Bottle","PET Cup 16oz",16,,,Y,
"","","D00","Bottle","Cuvelier Los Andes, Malbec 2020 750ml",1,,,Y,
"D0-0","","D00","Bottle","Cuvelier Los Andes, Malbec 2020 750ml",1,,,N,
"D3-6","","D36","Bottle","Fortemasso, 'Castelletto', Barolo Riserva 2016 750ml",1,,,Y,
"DJC2201123","","DJC2201123","Case","Dujac, 'Folatieres', Puligny Montrachet 2023 750ml",6,,,Y,
"DJC2301123","","DJC2301123","Case","Dujac, 'Combettes', Puligny Montrachet 2023 750ml",6,,,Y,
"DJC3104523","","DJC3104523","Bottle","Dujac, Morey St Denis 2023 1.5L",1,,,Y,
"DJC3104523","","DJC3104523","Bottle","Dujac, Morey St Denis 2023 1.5L",1,,,N,
"DJC3401123","","DJC3401123","Bottle","Dujac, '1er Cru', Morey St Denis 2023 750ml",1,,,Y,
"DJC3401123","","DJC3401123","Bottle","Dujac, '1er Cru', Morey St Denis 2023 750ml",1,,,N,
"DJC3902923E","","DJC3902923E","Bottle","Dujac, Clos de la Roche 2023 750ml",1,,,Y,
"DM13CIS1","","DM13CIS1","Each","DuMol, 'Charles Heintz - Isobel', Chardonnays 2013 1.5L",1,,,Y,
"DM13PAD1","","DM13PAD1","Each","DuMol, 'Wildrose', Pinot Noir 203 1.5L",1,,,Y,
"DM14SJR2","","DM14SJR2","Each","DuMol, Syrah 2014 750ml",1,,,Y,
"DM15PRV2","","DM15PRV2","Each","DuMol, 'Wester Reach', Pinot Noir 2015 750ml",1,,,Y,
"DM16CHEST2","","DM16CHEST2","Each","DuMol, 'Estate', Chardonnay 2016 750ml",1,,,Y,
"E6-4","","E64","Bottle","Brocard, 'Montee de Tonnerre', Chablis 2019 1.5L",1,,,Y,
"","","EC947191","Bottle","Lucien Crochet, 'Croix du Roy', Sancerre 2023 750ml",1,,,Y,
"EC947191","","EC947191","Case","Lucien Crochet, 'Croix du Roy', Sancerre 2023 750ml",12,,,N,
"EF2188","","EF2188","Each","Ellman Famil Vineyards, 'Brother's Blend', Red Wine 2021 750ml",1,,,Y,
"EF21ES3","","EF21ES3","Each","Ellman Family Vineyards, Cabernet Sauvignon 2021 750ml",1,,,Y,
"EF23SBCR6","","EF23SBCR6","Case","Ellman Family Vineyards, 'Caryn' Sauvignon Blanc 2023 750ml",6,,,Y,
"","","ESBBD01NV","Bottle","Fino Bodegas Barbadillo 750ml",1,,,Y,
"","","ESPRESSO001","Bottle","Espresso Beans (lb)",1,,,Y,
"","","FDGENEXTRAV","Case","Extra Virgin Olive Oil Truly (1/10L)",10,,,Y,
"","","FDGENGRAPEF","Bottle","Grapefruit Juice - 100% Cold Pressed (3L)",3,,,Y,
"","","FDGENLIMEJU","Bottle","Lime Juice (10L Bag-in-Box)",10,,,Y,
"","","FDGENMAYONN","Bottle","Mayonnaise Hellmans Extra Heavy (4/1 Gallon)",750,,,Y,
"","","FDGENORANGE","Bottle","Orange Juice - 100% Cold Pressed (3L)",3,,,Y,
"","","FDGENPINEAP","Bottle","Pineapple Juice - 100% Cold Pressed (3L)",3,,,Y,
"","","FDTHEWALNUT","Case","Walnut Halves Pitt #7 (1/5 lb Box)",5,,,Y,
"","","FEEFOAMCS","Bottle","Fee Brothers Fee Foam",1,,,Y,
"FXN3201022","","FXN3201022","Case","Foxen, Pinot Noir 2022 750ml",12,,,Y,
"","","FXN3201023","Bottle","Foxen, Pinot Noir 2023 750ml",1,,,Y,
"FXN3201023","","FXN3201023","Case","Foxen, Pinot Noir 2023 750ml",12,,,N,
"G21-7-Bellavoine-Maranges","","G217BELLAVOINEMAR","Case","Domaine Bellavoine, 'Cuvee Margot', Maranges 2021 750ml",12,,,Y,
"GCRU100127-21","","GCRU100127-21","Each","Pierre Peters, 'Cuvee De Reserve', Brut Champagne 750ml",1,,,Y,
"GCRU100128-21","","GCRU100128-21","Each","Pierre Peters, 'Cuvee de Reserve', Blanc de Blancs Champagne 1.5L",1,,,Y,
"GCRU100142-21","","GCRU100142-21","Case","Chartogne Taillet, 'Sainte Anne', Champagne 750ml",12,,,Y,
"GCRU100159-23","","GCRU100159-23","Case","Penna Currado, 'Bricco Lago', Langhe Nebbiolo 2023 750ml",6,,,Y,
"GCRU4652-23","","GCRU465223","Case","Presquile, Pinot Noir 2023 750ml",12,,,Y,
"GCRU6430-20","","GCRU6430-20","Each","Domaine Brun Avril Chateauneuf-du-Pape Rhone 2020 750ml",1,,,Y,
"GCRU90579-24","","GCRU9057924","Bottle","Bodega Chacra, 'Mainque', Chardonnay 2024 750ml",1,,,Y,
"GCRU90579-24","","GCRU9057924","Case","Bodega Chacra, 'Mainque', Chardonnay 2024 750ml",12,,,N,
"GCRU908013-22","","GCRU908013-22","Each","Savart, 'L'Ouverture 1er Cru, Champagne 750ml",1,,,Y,
"GCRU90824-22","","GCRU9082422","Case","Moreau Naudet, Chablis 2023 750ml",12,,,Y,
"GCRU990109-22","","GCRU990109-22","Each","Peter Lauer, 'Kupp #7', Riesling Spatlese 2022 750ml",1,,,Y,
"","","GIFFHEDOGES","Bottle","Giffard Villa De Hedoges",1,,,Y,
"GS3601120","","GS3601120","Case","Vega Sicilia, 'Valbuena', Ribera del Duero 2020 750ml",6,,,Y,
"HBG1201023","","HBG1201023","Bottle","Henri Bourgeois, 'Monts Damnes', Sancerre 2023 750ml",1,,,Y,
"HBG1201023","","HBG1201023","Case","Henri Bourgeois, 'Monts Damnes', Sancerre 2023 750ml",12,,,N,
"HBG1201024","","HBG1201024","Bottle","Henri Bourgeois, 'Cote Monts Damnes', Sancerre 2024 750ml",1,,,Y,
"HG23SB75","","HG23SB75","Case","Hourglass, Sauvignon Blancs 2023 750ml",12,,,Y,
"","","ICEBAG10LB","Bottle","Ice Bag 10lb",1,,,Y,
"0004117-01","","IT000411701","Each","Beef, Patty Premium Mix 1lb",1,,,Y,
"0005101-01","","IT000510101","Each","Bacon 1lb",16,,,Y,
"0005510-01","","IT000551001","Each","Italian Sausage 1lb",16,,,Y,
"0006511-01","","IT000651101","Each","Lamb Bones 1lb",16,,,Y,
"0009026-01","","IT000902601","Each","Duck Bones, Frozen 1lb",16,,,Y,
"0009033-01","","IT000903301","Each","Cornish Hen 1lb",16,,,Y,
"0012019-01","","IT001201901","Each","Pork Loin Rib 1lb",16,,,Y,
"0012023-01","","IT001202301","Each","Pork Belly Trimmed 1lb",16,,,Y,
"0012450-01","","IT001205001","Each","Pork Chop, Frenched 1lb",16,,,Y,
"0012120-01","","IT001212001","Each","Pork Butt 1lb",16,,,Y,
"0012215-01","","IT001221501","Case","Prosciutto 3oz",12,,,Y,
"0012241-01","","IT001224101","Each","Beef Bresaola 1lb",16,,,Y,
"0012511-01","","IT001251101","Case","Pork Shoulder, Ground 1lb",5,,,Y,
"0013049-01","","IT001304901","Each","Mortadella 1lb",16,,,Y,
"0013051-01","","IT001305101","Each","Molinari Salami 1lb",16,,,Y,
"0013094-01 ","","IT001309401","Each","Pork Chorizo 1lb",16,,,Y,
"0013098-01","","IT001309801","Each","Chorizo 1lb",16,,,Y,
"0037009-01","","IT001408701","Each","Hot Dog 1lb",16,,,Y,
"0015194-01","","IT001508801","Each","Lamb Rack 1lb",16,,,Y,
"00151","","IT00151","Case","Cauliflower 1each",12,,,Y,
"09567","","IT00151","Case","Cauliflower 1each",3,,,N,
"0016017-01","","IT001601701","Bottle","Osetra Caviar 1oz",1,,,Y,
"0016037-01","","IT001603701","Each","Caviar, Paddlefish 1each",1,,,Y,
"0016093-01","","IT001609301","Each","Steelhead Trout 1lb",16,,,Y,
"0016147-01","","IT001614701","Each","Thai Snapper 1lb",16,,,Y,
"0016177-01","","IT001617701","Each","Loup de Mer 1lb",16,,,Y,
"0016216-01","","IT001621601","Bottle","Classic Ossetra Caviar, Golden Royal 1oz",1,,,Y,
"0016276-01","","IT001627601","Each","Soft Shell Crab 1dozen",1,,,Y,
"0016289-01","","IT001628901","Each","Shrimp U7 1lb",16,,,Y,
"0016815-01","","IT001631401","Each","Tuna, Big Eye 1lb",16,,,Y,
"0016329-01","","IT001632901","Each","Branzino 1lb",16,,,Y,
"0016940-01","","IT001643001","Each","Seabream, New Zealand 1lb",16,,,Y,
"0016856-01","","IT001685601","Each","Boss Pasterurized Crab Meat 1tin",1,,,Y,
"0044495-01","","IT001704401","Each","Porterhouse, Prime 1lb",16,,,Y,
"0017099-01","","IT001709901","Each","Shortrib, Boneless 1lb",16,,,Y,
"0017339-01 ","","IT001733901","Each","Tail Flap 1lb",16,,,Y,
"0040230-01","","IT001738401","Each","Beef, Ground 1lb",16,,,Y,
"0017418-01","","IT001741801","Each","Beef Tenderloin 5 up 1lb",16,,,Y,
"0017463-01","","IT001746301","Each","Bone Marrow 1lb",16,,,Y,
"0017678-01","","IT001767801","Each","Ribeye, Lip, Creekstone 1lb",16,,,Y,
"0411717-01","","IT001790301","Bottle","Beef Slider, 2oz Patty 1lb",1,,,Y,
"0041048-01","","IT001797001","Each","Filet Mignon 1lb",1,,,Y,
"00181","","IT00181","Case","Chile Arbol, Dry 1lb",5,,,Y,
"0020147-01","","IT002014701","Each","Chicken, Boneless Whole 1lb",16,,,Y,
"0020160-01","","IT002016001","Each","Chicken Tender, Breaded 1lb",16,,,Y,
"0022016-01","","IT002049001","Each","Chicken Breast 1lb",16,,,Y,
"0021110-01","","IT002050301","Each","Chicken Thigh 1lb",16,,,Y,
"0360401-01","","IT002097001","Each","Chicken Wing 1lb",16,,,Y,
"0021028-01","","IT002102801","Each","Chicken Leg 1lb",16,,,Y,
"0021060-01","","IT002106001","Each","Chicken, Whole 1lb",16,,,Y,
"0021086-01","","IT002108601","Each","Chicken Thigh, Boneless 1lb",16,,,Y,
"0021090-01","","IT002109001","Each","Chicken Cage Bones 1lb",16,,,Y,
"0022015-01","","IT002201501","Each","Chicken Wing, Jumbo 1lb",16,,,Y,
"0022016-01","","IT002201601","Bottle","Chicken- 8OZ SPLIT ROCKY 1lb",1,,,Y,
"0023003-01","","IT002300301","Each","Chicken Breast, Boneless 1lb",16,,,Y,
"0031117-01","","IT003111701","Each","Turkey, Breast 1lb",16,,,Y,
"0032040-01","","IT003204001","Each","Rose Pork Sausage Links 1lb",16,,,Y,
"0032146-01","","IT003214601","Each","Baby Back Ribs 1lb",16,,,Y,
"00335","","IT00335","Case","Baby Arugula 1lb",2,,,Y,
"00335","","IT00335","Case","Baby Arugula 1lb",4,,,N,
"0035009-01","","IT003500901","Each","Veal Shank Bone 1lb",16,,,Y,
"0035050-01","","IT003505001","Each","Veal Knuckle Bone 1lb",16,,,Y,
"0035298-01","","IT003529801","Each","Ora King Salmon 1lb",16,,,Y,
"0036014-01","","IT003601401","Each","shrimp 31-40 White 1lb",16,,,Y,
"0036100-01","","IT003610001","Each","Halibu, Alaskan 1lb",16,,,Y,
"0036306-01","","IT003630601","Each","Shrimp 16/20 1lb",16,,,Y,
"0036318-1","","IT00363181","Each","Black Tiger Shrimp 1lb",16,,,Y,
"0036366-01","","IT003636601","Each","shrimp head on 10-12 1lb",16,,,Y,
"0036563-01","","IT003656301","Each","Lobster Tails 1lb",16,,,Y,
"00370","","IT00370","Each","Baby Mix Lettuce Whole 1case",1,,,Y,
"0037059-01","","IT003705901","Case","RIbeye, Sliced, Frozen 1lb",15,,,Y,
"0037066-01","","IT003706601","Each","Kusshi Oysters 1each",1,,,Y,
"00373","","IT00373","Case","Romaine 1each",24,,,Y,
"0038010-01","","IT003801001","Each","Duck Breast, Boneless 1lb",16,,,Y,
"0038014-01","","IT003801401","Each","Duck Breast 1lb",16,,,Y,
"0038365-01","","IT003836501","Each","Ground Chicken 1lb",16,,,Y,
"0040382-01","","IT004038201","Each","Tri Tip 1lb",16,,,Y,
"0041672-01","","IT004043801","Each","New York Steak, Prime 1lb",16,,,Y,
"0040482-01","","IT004048201","Each","Tomahawk, Creekstone 1lb",16,,,Y,
"0044269-01","","IT004101601","Each","Rib Chop, French 1lb",16,,,Y,
"0041620-01","","IT004162001","Each","Filet Mignon, 9+ Score 1lb",1,,,Y,
"0041672-01","","IT004167201","Each","New York Steak, 6-7 Score 1lb",16,,,Y,
"0043416-01","","IT004341601","Each","Hanging Tender, Prime 1lb",16,,,Y,
"00614","","IT00614","Case","Sugar Snap Pea 1lb",10,,,Y,
"99614","","IT00614","Case","Sugar Snap Pea 1lb",2,,,N,
"00667","","IT00667","Case","Baby Zucchini 1lb",10,,,Y,
"0070003-01","","IT007000301","Each","Crab Meat 1lb",16,,,Y,
"0071345-01","","IT007134501","Each","Outside Skirt, Clean Prime 1lb",16,,,Y,
"0075470-01","","IT007547001","Each","Turkey Maple Sausage 1lb",16,,,Y,
"00774","","IT00774","Each","Bay Leaf 1lb",16,,,Y,
"0080004-01","","IT008000401","Each","Mussels, Farmed 1lb",16,,,Y,
"0080008-01","","IT008000801","Each","Fish Bones 1lb",16,,,Y,
"0080013-01","","IT008001301","Each","Mussels P.E.I. 1lb",16,,,Y,
"0080017-01","","IT008001701","Each","Rock Cod Fillet 30lb",480,,,Y,
"0080084-01","","IT0080084","Each","Tilapia 1lb",16,,,Y,
"0081027-01","","IT008102701","Each","Shrimp 21/25 1lb",16,,,Y,
"00816","","IT00816","Case","Cherry Tomato, Yellow 1each",12,,,Y,
"0082255-01","","IT008225501","Each","Tiger Prawn 1lb",16,,,Y,
"0083033-01","","IT008303301","Each","Littleneck Clams 1lb",16,,,Y,
"0084999-01","","IT008346001","Each","Salmon, Faroe Island 1lb",16,,,Y,
" 0083999-01","","IT008399901","Each","Bakkafrost Salmon, Farmed Faroe 1lb",16,,,Y,
"0084111-01","","IT008411101","Each","Halibut 1lb",16,,,Y,
"0090071-01","","IT009007101","Each","Chicken Feet 1lb",16,,,Y,
"0090273-01","","IT009027301","Each","Duck Fat 1lb",16,,,Y,
"0090454-01","","IT009045401","Each","Duck Leg 1lb",16,,,Y,
"09558","","IT01042","Each","Blueberry 1basket",1,,,Y,
"09559","","IT01052","Each","Raspberry 1Case",1,,,Y,
"01120","","IT01120","Case","Fig, Black Mission 1each",12,,,Y,
"","","IT012345678901","Bottle","Jack Daniel's Old No. 7 Tennessee Whiskey",1,,,Y,
"01250","","IT01250","Each","Peach, Organic 1layer",1,,,Y,
"01684","","IT01684","Case","Chives - Food 4oz",8,,,Y,
"01751","","IT01751","Bottle","Orange Juice - Food 1gal",128,,,Y,
"01799","","IT01799","Case","Carrot, Baby Rainbow 1each",24,,,N,
"02101","","IT02101","Case","Curly Fries 1lb",30,,,Y,
"02223","","IT02223","Case","Lemon Sorbet 1gal",128,,,Y,
"02351","","IT02351","Case","Dill Pickle Chips 1gal",5,,,Y,
"02374","","IT02374","Case","Sour Cream 1lb",80,,,Y,
"02855","","IT02855","Each","YEAST-DRY ACTIVE 2lb",32,,,Y,
"03352","","IT03352","Case","Haricot Vert (Green Bean) 1lb",2,,,Y,
"03769","","IT03769","Case","Tangerine, Mini 1lb",5,,,Y,
"03903","","IT03903","Case","Parmesan 1lb",18,,,Y,
"04810","","IT04810","Bottle","White Wine Vinegar 1gal",128,,,Y,
"05567","","IT05567","Each","CHEESE-BERMUDA TRIANGLE (lbs) 1lb",16,,,Y,
"06026","","IT06026","Bottle","Oregano 12oz",12,,,Y,
"06036","","IT06036","Bottle","Mustard Seed 25oz",25,,,Y,
"06042","","IT06042","Each","Ground Cinnamon 1lb",16,,,Y,
"06046","","IT06046","Bottle","Mustard Seed, Brown 27oz",27,,,Y,
"06299","","IT06299","Each","Lotus Root 1lb",16,,,Y,
"06563","","IT06563","Case","Tempura Mix 1lb",30,,,Y,
"06794","","IT06794","Each","Micro Shiso 1each",1,,,Y,
"0701345-01","","IT070134501","Each","Outside Skirt 1lb",16,,,Y,
"07404","","IT07404","Case","Jumbo Asparagus 1lb",11,,,Y,
"0753624-01","","IT075362401","Each","Ground Turkey 1lb",16,,,Y,
"07596","","IT07596","Case","Half & Half 32oz",64,,,Y,
"0800125-01","","IT080012501","Each","Swordfish 1lb",16,,,Y,
"09287","","IT09287","Case","Farro Grain 1lb",12,,,Y,
"09551","","IT09551","Case","Blue Lake Bean 1lb",5,,,Y,
"09552","","IT09552","Case","Fava Bean 1lb",3,,,Y,
"09557","","IT09557","Case","Blackberry 1each",3,,,Y,
"09567","","IT09567","Case","Cauliflower - Food 1each",3,,,Y,
"09578","","IT09578","Case","Orange - Food 1lb",5,,,Y,
"09579","","IT09579","Case","Italian Parsley - Food 1each",6,,,Y,
"09589","","IT09589","Case","Ginger - Food 1lb",2,,,Y,
"09596","","IT09596","Case","Parsley 1each",6,,,Y,
"","","IT098765432109","Case","Tito's Handmade Vodka 750mL",6,,,Y,
"","","IT098765432109","Bottle","Tito's Handmade Vodka 750mL",1,,,N,
"","","IT098765432109","Bottle","Tito's Handmade Vodka 750mL",1,,,N,
"","","IT098765432109","Case","Tito's Handmade Vodka 750mL",12,,,N,
"100044","","IT100044","Bottle","Edible Flower Mix - Bev 1each",1,,,Y,
"10013","","IT10013","Case","Horseradish Root 1lb",3,,,Y,
"10025","","IT10025","Case","English Pea 1lb",3,,,Y,
"10028","","IT10028","Case","Bell Pepper, Green 1lb",2,,,Y,
"10028","","IT10028","Case","Bell Pepper, Green 1lb",5,,,N,
"10039","","IT10039","Case","Sprouts, Daikon 1oz",2,,,Y,
"10042","","IT10042","Case","Zucchini Squash, Green 1lb",5,,,Y,
"23828","","IT10100937N","Case","Potato Startch 1lb",10,,,Y,
"10142366","","IT10142366","Case","Tajin 1each",12,,,Y,
"102228","","IT102228","Bottle","BIB - Coke 2.5gal",320,,,Y,
"102230","","IT102230","Bottle","BIB - Diet Coke 2.5gal",320,,,Y,
"102230","","IT102230","Bottle","BIB - Diet Coke 2.5gal",320,,,N,
"102235","","IT102235","Bottle","BIB - Sprite 2.5gal",320,,,Y,
"12466","","IT10260990","Case","Cocoa Powder 1lb",4,,,Y,
"1036144-B12","","IT1036144B12","Bottle","Chateau Ducru Beaucaillou 2008 750ml",1,,,Y,
"1036144-B12","","IT1036144B12","Bottle","Chateau Ducru Beaucaillou 2008 750ml",1,,,N,
"1036448-B12","","IT1036448B12","Bottle","Chateau Lynch Bages 2005 750ml",1,,,Y,
"1036456-B12","","IT1036456B12","Bottle","Chateau Leoville Barton 2000 750ml",1,,,Y,
"1037928-B06","","IT1037928B06","Bottle","Chateau Lagrange 2009 750ml",1,,,Y,
"1038025-B12","","IT1038025B12","Bottle","Chateau Lynch-Bages, 2000 750ml",1,,,Y,
"1038395-B12","","IT1038395B12","Bottle","Chateau Pichon Baron 1998 750ml",1,,,Y,
"1038517-B03","","IT1038517B03","Bottle","Chateau Pichon Lalande 1995 750ml",1,,,Y,
"1038517-B03","","IT1038517B03","Bottle","Chateau Pichon Lalande 1995 750ml",1,,,N,
"1039813-B06","","IT1039813B06","Bottle","Chateau Canon La Gaffeliere 2000 750ml",1,,,Y,
"10510","","IT10510","Case","Peach 0.5Case",2,,,Y,
"","","IT105219","Bottle","Remy Martin VSOP 750ml",1,,,Y,
"1057","","IT1057","Bottle","Strawberry - Bev 1case",1,,,Y,
"10706015","","IT10706015","Each","Bluenose Filet, Skin On 1lb",1,,,Y,
"","","IT107520","Bottle","Smith & Sheth, 'CRU', Sauvignon Blanc 2022 750ml",1,,,Y,
"107520","","IT107520","Case","Smith & Sheth, 'CRU', Sauvignon Blanc 2022 750ml",12,,,N,
"30631","","IT10797050N","Each","Bonito Flakes 1lb",16,,,Y,
"108640","","IT108640","Bottle","Smith & Sheth, 'CRU' Chardonnay 2023 750ml",1,,,Y,
"108640","","IT108640","Case","Smith & Sheth, 'CRU' Chardonnay 2023 750ml",6,,,N,
"108744","","IT108744","Case","Fever Tree Tonic Water 500ml",135.256,,,Y,
"11238503","","IT10901250","Each","Dover Sole 1lb",1,,,Y,
"1091109-B06","","IT1091109B06","Bottle","Chateau Langoa Barton 2009 750ml",1,,,Y,
"1096404","","IT1096404","Case","Badger Bev Ginger Beer 250ml",202.884,,,Y,
"10970","","IT10970","Case","Tortilla, Flour 12" 12each",48,,,Y,
"1112598-B06","","IT1112598B06","Bottle","Chateau Malartic Lagraviere 2015 750ml",1,,,Y,
"1115673-B06","","IT1115673B06","Bottle","Chateau Calon Segur 2016 750ml",1,,,Y,
"1116394-B06","","IT1116394B06","Bottle","Chateau Lafon Rochet 2016 750ml",1,,,Y,
" 1116399-812","","IT1116399812","Bottle","Chateau Lagrange 2016 750ml",1,,,Y,
"1116399-812","","IT1116399812","Case","Chateau Lagrange 2016 750ml",6,,,N,
"1116547-B06","","IT1116547B06","Bottle","Chateau Les Carmes Haut Brion 2016 750ml",1,,,Y,
"1117063-B06","","IT1117063B06","Bottle","Chateau Cos d'Estournel 2016 750ml",1,,,Y,
"11201270","","IT11201270","Each","Crab Meat, Lump 1tin",1,,,Y,
"11235532","","IT11235532","Each","Branzino, Euro 1lb",16,,,Y,
"11248000","","IT11248000","Each","Hiramasa (Yellowtail/King Fish) 1lb",16,,,Y,
"11485","","IT11485","Each","Micro Citrus Mix 1each",1,,,Y,
"12002","","IT12002","Bottle","Blueberries 6oz",6,,,Y,
"12002","","IT12002","Case","Blueberries 6oz",72,,,N,
"12003","","IT12003","Bottle","Raspberry - Bev 6oz",6,,,Y,
"1205582","","IT1205582","Case","Strawberry - Bev 1lb",4,,,Y,
"9560","","IT1205582","Case","Strawberry - Bev 1lb",5,,,N,
"12005","","IT1205582","Case","Strawberry - Bev 1lb",8,,,N,
"12092","","IT12092","Case","Almond, Smoked 1lb",25,,,Y,
"12120","","IT12120","Case","Cous Cous 1lb",5,,,Y,
"","","IT121898","Bottle","Chambord Liqueur 700ml",1,,,Y,
"","","IT12231453","Bottle","Louis Michel, 'Butteaux', Chablis 2023 750ml",1,,,Y,
"12231453","","IT12231453","Case","Louis Michel, 'Butteaux', Chablis 2023 750ml",12,,,N,
"1223146","","IT1223146","Case","Etienne Sauzet, Bourgogne Blanc 2023 750ml",12,,,Y,
"12386","","IT12386","Case","Alta Cucina Tomatos 108oz",648,,,Y,
"12398","","IT12398","Case","Banana 1lb",3,,,Y,
"12857","","IT12857","Bottle","Sage 4oz",4,,,Y,
"12997","","IT12997","Case","Passion Fruit Puree 1kg",6,,,Y,
"130560","","IT130560","Case","Veuve CLicquot, Rose Champagne 750ml",12,,,Y,
"13120307","","IT13120307","Case","Chilean Seabass 1lb",10,,,Y,
"1317","","IT1317","Case","White Peach Puree 1L",202.884,,,Y,
"","","IT131867","Bottle","Selvarey White 750ml",1,,,Y,
"13241","","IT13241","Each","Hon Dashi Soup Stock 1kg",1,,,Y,
"133004","","IT133004","Case","Fabbri Amarena Cherries 1each",6,,,Y,
"133008","","IT133008","Case","Fragola Strawberries 1each",6,,,Y,
"13508","","IT13508","Case","Lychee Puree 30oz",180,,,Y,
"13593","","IT13593","Bottle","Sherry Vinegar 1gal",128,,,Y,
"13886","","IT13886","Case","Butter, European Style 1lb",576,,,Y,
"13888","","IT13888","Each","Pomegranate Juice 24fl.oz",1,,,Y,
"14204","","IT14204","Each","Mozzarella Cheese Ovaline 3lb",48,,,Y,
"1432","","IT1432","Case","Orange - Bev 1each",113,,,Y,
"1432","","IT1432","Case","Orange - Bev 1each",88,,,N,
"1466","","IT1466","Case","La Caudrina, Moscato 2023 750ml",12,,,Y,
"151285","","IT151285","Case","Agave Nectar, South Beach Organic 1.5gal",768,,,Y,
"1544014","","IT1544014","Case","Simple Syrup 1gal",512,,,Y,
"16096","","IT16096","Case","Pomegrante Seeds 1each",3,,,Y,
"16801","","IT16801","Case","Mozzarella Cheese Perlini 1lb",48,,,Y,
"9240533","","IT169452","Bottle","Felsina, 'Cru Rancia', Chianti Classico 2019 750ml",1,,,Y,
"169452","","IT169452","Case","Felsina, 'Cru Rancia', Chianti Classico 2019 750ml",6,,,N,
"17595","","IT17595","Case","Chicken Base 1lb",12,,,Y,
"1773","","IT1773","Bottle","Sambal Oelek, Sauce 18oz",18,,,Y,
"","","IT17766","Bottle","Lychee, Canned - Bev 20oz",20,,,Y,
"17766","","IT17766","Case","Lychee, Canned - Bev 20oz",480,,,N,
"18338","","IT18338","Case","Raspberry Sorbet 1gal",128,,,Y,
"18699","","IT18699","Bottle","Borage Blossom 100each",1,,,Y,
"18714","","IT18714","Each","Petite Red Sorrel 1pack",1,,,Y,
"19064","","IT19064","Case","Red Gem Lettuce 1lb",6,,,Y,
"","","IT19307","Bottle","Dewars White Label 1L",1,,,Y,
"19347","","IT19347","Case","Watercress 1lb",16,,,Y,
"19348","","IT19348","Case","Squash Flower, Male 1each",25,,,Y,
"198448","","IT198448","Bottle","Angostura, Orange Bitters 4fl.oz",4,,,Y,
"20018","","IT20018","Each","Chanterelle Mushrooms 5lb",80,,,Y,
"20112","","IT20112","Each","Matsuri Koshihikari Rice 40lb",640,,,Y,
"","","IT201764","Bottle","Chareau Aloe Liqueur 750ml",1,,,Y,
"","","IT201764","Bottle","Chareau Aloe Liqueur 750ml",1,,,N,
"20362","","IT20362","Bottle","vanilla bean paste 1quart",32,,,Y,
"20422","","IT20422","Case","Sushi Rice 1lb",640,,,Y,
"21798","","IT21798","Case","Cotija Cheese 1lb",80,,,Y,
"2208","","IT2208","Case","Dried Hibiscus Flower 1each",5,,,Y,
"2210","","IT2210","Bottle","Edible Flower, Nastrutium 1each",25.3605,,,Y,
"2210","","IT2210","Case","Edible Flower, Nastrutium 1each",50,,,N,
"","","IT222094","Bottle","Giffard Caribbean Pineapple 750ml",1,,,Y,
