Description,Vendor,Category,PackType,Qty,UnitCost
"Gran Coramino Tequila 750mL","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",0,44.41
"Gran Coramino Tequila Reposado 750mL","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",0,32
"Limes | 5315 - Bar Consumables","Dairyland Produce, LLC","Produce","Unknown",1,32
"Gran Coramino Tequila Anej750mL","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",0,24
"Gran Coramino Tequila Repo 750mL","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",0,32
"Hakushu Japanese Malt 12Yr 750mL","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",2,148.4
"Hennessy Cognac Vs 1LT","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",3,45.79
"Hennessy Cognac Xo 750mL","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",3,182.92
"Grapefruit - Food | 5315 - Bar Consumables","Dairyland Produce, LLC","Produce","Unknown",1,43
"Hibiki Harmony Japanese Wh 750mL","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",3,73.77
"Italicus Rosolio Bergamett 750mL","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",2,28.72
"Jim Beam Bourbon 1LT","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",3,18.42
"Jim Beam Rye Whiskey 80' 1LT","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",3,19
"Johnnie Walker Black 1LT","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",3,41.6
"Johnnie Walker Blue 6/Cs 750mL","Spec's Wine, Spirits & Finer Foods","Uncategorized","Case (CS)",3,184.99
"Juliette Royale Peach Lique 1LT","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",6,27.24
"Ketel One Vodka 1LT","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",6,25.95
"Orange - Food | 5315 - Bar Consumables","Dairyland Produce, LLC","Produce","Unknown",1,36
"APPLES HONEY CRISP JMXF","Chef's Produce","Produce","Unknown",88,0.3
"AVOCADOS HASS 2LYR","Chef's Produce","Produce","Unknown",48,0.17
"BRUSSELS SPROUTS MEDIUM BULK","Chef's Produce","Produce","Unknown",25,1.2
"CABBAGE GREEN CARTON","Chef's Produce","Produce","Unknown",45,0.29
"CABBAGE RED CARTON","Chef's Produce","Produce","Unknown",45,0.32
"CILANTRO","Chef's Produce","Uncategorized","Unknown",60,0.04
"CUCUMBERS PERSIAN MINI","Chef's Produce","Produce","Unknown",16,0.24
"FENNEL","Chef's Produce","Uncategorized","Unknown",12,1.8
"CHIVES FRESH","Chef's Produce","Uncategorized","Unknown",1,14.15
"ROSEMARY FRESH","Chef's Produce","Uncategorized","Unknown",1,7
"TARRAGON FRESH","Chef's Produce","Uncategorized","Unknown",1,19.95
"THYME FRESH","Chef's Produce","Uncategorized","Unknown",1,10.15
"LEEKS","Chef's Produce","Uncategorized","Unknown",12,1.56
"ONIONS RED MEDIUM","Chef's Produce","Produce","Unknown",25,0.29
"ORANGES BLOOD FANCY","Chef's Produce","Produce","Unknown",20,1.05
"PARSLEY ITALIAN","Chef's Produce","Uncategorized","Unknown",60,0.05
"POTATOES RUSSET IDAHO","Chef's Produce","Uncategorized","Unknown",70,0.13
"RADISHES FRENCH BREAKFAST","Chef's Produce","Uncategorized","Unknown",24,0.96
"SQUASH KABOCHA","Chef's Produce","Uncategorized","Unknown",30,0.42
"TOMATOES 4X5","Chef's Produce","Produce","Unknown",40,0.26
"TOMATOES MIXED CHERRY HEIRLOOM 12/1PT HV","Chef's Produce","Produce","Unknown",1,23.03
"CHEESE GOAT/ CHEESEMAKERS 2/5# CS","Chef's Produce","Dairy & Eggs","Case (CS)",1,105
"TABASCO SAUCE 12/5oz CS","Chef's Produce","Uncategorized","Case (CS)",1,48.5
"FLOUR SEMOLINA 50# EA","Chef's Produce","Dry Goods & Pantry","Each (EA)",1,33.75
"BASIL THAI FRESH 1# LB","Chef's Produce","Uncategorized","Pound (LB/#)",1,11.75
"MUSHROOMS CRIMINI 5# CS","Chef's Produce","Produce","Case (CS)",1,30.25
"BLACK PEP BUTCHER 12 MESH JAR 5# EA","Chef's Produce","Uncategorized","Each (EA)",1,46.75
"FENNEL SEED WHOLE JAR 1# EA","Chef's Produce","Uncategorized","Each (EA)",1,6.25
"MILK POWDER DRY NON FAT 1# JAR","Chef's Produce","Dairy & Eggs","Unknown",1,8.5
"MILK POWDER DRY NON FAT 6# EA","Chef's Produce","Dairy & Eggs","Each (EA)",1,45
"MUSTARD SEED YELLOW WHOLE JAR 26oz EA","Chef's Produce","Uncategorized","Each (EA)",1,11.25
"ABA GROUND BEEF CBS PATTY 4 OZ 4# CS","Allen Brothers Texas","Meat & Protein","Case (CS)",2,7.36
"ABA BEEF DA-KC-STRIP-STK-B/IN 18 OZ 10 PC 11.25# CS","Allen Brothers Texas","Meat & Protein","Case (CS)",1,27.38
"CHILEAN SEABASS PORTIONS 6 OZ 10# CS ALLEN BROTHERS SEAFOOD FRZ","Allen Brothers Texas","Seafood","Case (CS)",1,35.57
"PORK CHOP DA PORTERHOUSE 16 OZ DUROC 12 PC 12# CS FROZEN","Allen Brothers Texas","Meat & Protein","Case (CS)",1,13.62
"VEAL MIXED BONES 50# CS FRZ","Allen Brothers Texas","Uncategorized","Case (CS)",1,4.74
"WAGYU HOT DOGS 32/1 10# CS FRZ","Allen Brothers Texas","Specialty & Gourmet","Case (CS)",1,9.5
"BUTCHER TWINE 1/2.5 LB PC PIt#: 4","The Chefs Warehouse","Uncategorized","Pound (LB/#)",1,30
"TOWEL C-FOLD 1/2400 CT CS PIt#: 4","The Chefs Warehouse","Uncategorized","Case (CS)",2,55
"COCONUT OIL 100%VIRGIN ORGANIC 6/14 OZ CASE PIt#: 4","The Chefs Warehouse","Dry Goods & Pantry","Case (CS)",1,65
"BUTTER BEANS 6/20 OZ CS PIt#: 4","The Chefs Warehouse","Dairy & Eggs","Case (CS)",1,20
"CAPERS NON PAREIL 12/32 OZ BC PIt#: 4","The Chefs Warehouse","Uncategorized","Ounce (OZ)",1,100
"PEPPER RED BUSHEL 1/9","Mr. Greens","Produce","Unknown",1,5.81
"AGAVE NECTAR LIGHT","Chef's Produce","Uncategorized","Unknown",1,240
"GRAPEFRUIT RUBY","Chef's Produce","Produce","Unknown",1,49.25
"BASIL FRESH","Chef's Produce","Uncategorized","Unknown",1,12
"BASIL THAI FRESH","Chef's Produce","Uncategorized","Unknown",1,11.75
"CHIVES FRESH","Chef's Produce","Uncategorized","Unknown",1,20.25
"MINT FRESH","Chef's Produce","Uncategorized","Unknown",1,10.75
"ROSEMARY FRESH","Chef's Produce","Uncategorized","Unknown",1,10.25
"TARRAGON FRESH","Chef's Produce","Uncategorized","Unknown",1,35
"THYME FRESH","Chef's Produce","Uncategorized","Unknown",2,16.25
"GRAPEFRUIT JUICE FRSH / PERRIC","Chef's Produce","Produce","Unknown",1,48
"LEMON JUICE FRESH / PERRICONE","Chef's Produce","Produce","Unknown",1,55
"LIME JUICE FRESH / PERRICONE","Chef's Produce","Produce","Unknown",1,55
"LEMONS FANCY","Chef's Produce","Produce","Unknown",1,44.25
"BABY LETTUCE FRISEE CIRCUS","Chef's Produce","Produce","Unknown",1,38.5
"LETTUCE WATERCRESS / B&W","Chef's Produce","Produce","Unknown",1,25.5
"LIMES MEXICO #1","Chef's Produce","Produce","Unknown",1,50.75
"MUSHROOMS BROWN ALBA BEECH","Chef's Produce","Produce","Unknown",1,69
"MUSHROOMS CRIMINI","Chef's Produce","Produce","Unknown",1,30.25
"MUSHROOMS CRIMINI","Chef's Produce","Produce","Unknown",2,30.25
"ORANGES CALIFORNIA","Chef's Produce","Produce","Unknown",1,41.5
"SHALLOTS PEELED","Chef's Produce","Uncategorized","Unknown",2,27
"PICKLING SPICE JAR","Chef's Produce","Dry Goods & Pantry","Unknown",1,33
"TOMATOES MX CHRY HRLM PNTS","Chef's Produce","Produce","Unknown",1,41.5
"APPLES HONEY CRISP WAXF","Chef's Produce","Produce","Unknown",10,3.91
"PICO + DELILAH CUB E 100CT 2"","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",3,85
"BRUSSELS SPROUTS MEDIUM BULK","Chef's Produce","Produce","Unknown",1,43.39
"CARROTS JUMBO CALIFORNIA","Chef's Produce","Produce","Unknown",15,1.56
"MIRIN MANJO AJI MIRIN KKM 60oz EA","Chef's Produce","Uncategorized","Each (EA)",1,25
"GRITS WHITE | GRISTMILL 10# CS","Chef's Produce","Dry Goods & Pantry","Case (CS)",1,46.75
"LIL' GEM CLAMS RETAIL 8/4CT CS","Chef's Produce","Uncategorized","Case (CS)",1,50.75
"CHS PARMESAN GRATED 1/5 LB PC (4 PER CS) PII#: 5","The Chefs Warehouse","Uncategorized","Case (CS)",0,4
"CROISSANT DOUGH SHEETS 1/10 CT CS PII#: 10","The Chefs Warehouse","Bakery","Case (CS)",2,180
"VINEGAR APPLE CIDER 4/1 GAL BC PII#: 5","The Chefs Warehouse","Produce","Gallon (GAL)",1,92.42
"SHRIMP EZ PEEL 13/15 10/2 LB CS PII#: 10","The Chefs Warehouse","Seafood","Case (CS)",1,15.5
"818 Tequila Eight Reserve 750ML","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",3,79.79
"Hakushu Japanese Wai 12Yr 750ML","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",1,148.4
"Riedel Decanter Amadeo 1756 530Z","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",1,443.3
"Riedel Decanter Cabernet Ma 600Z","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",6,66.83
"Riedel Decanter Cornetto Ma 62.5","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",2,288.23
"Riedel Rest. Decanter Caber 370Z","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",11,38.03
"MALLORCA MELON","Rare Tea Cellar","Uncategorized","Unknown",9,35
"COMPED COURTESY OF RODRICK - 1 X 3 LITER GLASS JAR LABLED M.ALLORCA MELON","Rare Tea Cellar","Uncategorized","Unknown",1,0
"WAGY U HOT DOG COCKTAIL 32-1 2/5 LB CS PII#: 10","The Chefs Warehouse","Uncategorized","Case (CS)",1,9.5
"Sales Tax","Rare Tea Cellar","Uncategorized","Unknown",1,32.29
"MFM NUESKE SLAB BACON WHOLE 1/10 LB CS PII#: 5","The Chefs Warehouse","Meat & Protein","Case (CS)",1,9.49
"Tommaso Bussola Amarone Classico 12x750ml Bt 2019","Johnson Brothers Maverick of Texas","Uncategorized","Unknown",6,62
"CHS MIMOLETTE AGED 12 MONTHS 2/7 LB BC PII#: 5","The Chefs Warehouse","Uncategorized","Pound (LB/#)",2,17.5
"Gerard Boulay Sancerre Blanc 12x750ml Bt 2024","Johnson Brothers Maverick of Texas","Uncategorized","Unknown",1,372
"Grgich Hills Yountville Cabernet Sauvignon 6x750ml Bt 2016","Johnson Brothers Maverick of Texas","Uncategorized","Unknown",0,895.44
"Hanzell Estate Chardonnay 6x750ml Bt 2021","Johnson Brothers Maverick of Texas","Uncategorized","Unknown",1,319.5
"CHICKEN WHOLE UNBAGGED 3.5-4LB 1/12 CT CS PIt#: 5","The Chefs Warehouse","Meat & Protein","Case (CS)",47.12,2.04
"TOWEL C-FOLD 1/2400 CT CS PIt#: 5","The Chefs Warehouse","Uncategorized","Case (CS)",1,55
"Abreu Red Blend Las Posadas Howell Mountain 3x750ml Bt 2019","Johnson Brothers Maverick of Texas","Uncategorized","Unknown",1,1977
"Abreu Red Blend Rothwell Hyde Vineyard Napa Valley 6x750ml Bt 2021","Johnson Brothers Maverick of Texas","Uncategorized","Unknown",0,1350
"ABA BEEF TENDERLOIN PSMO 4 PC 28# CS 7.12 LB 29.90 LB","Allen Brothers Texas","Meat & Protein","Case (CS)",5,23.07
"TARO ROOT","Mr. Greens","Uncategorized","Unknown",2,6.26
"BABY LETTUCE FRISEE CIRCUS 12CT CS","Chef's Produce","Produce","Case (CS)",1,38.5
"LIL' GEM CLAMS RETAIL 8/4CT CS","Chef's Produce","Uncategorized","Case (CS)",0,45.5
"LETTUCE ROMAINE HEARTS LINER 48CT CS","Chef's Produce","Produce","Case (CS)",1,41.5
"Bruno Giacosa Roero Arneis 12x750ml Bt 2024","Johnson Brothers Maverick of Texas","Uncategorized","Unknown",1,393
"Tommaso Bussola Valpolicella TB 12x750ml Bt 2018","Johnson Brothers Maverick of Texas","Uncategorized","Unknown",0,396
"Tommaso Bussola Amarone Classico 12x750ml Bt 2019","Johnson Brothers Maverick of Texas","Uncategorized","Unknown",0,744
"MUSHROOMS BROWN ALBA BEECH 24/3oz CS","Chef's Produce","Produce","Case (CS)",1,69
"POTATOES RUSSET IDAHO 40CT CS","Chef's Produce","Uncategorized","Case (CS)",1,30.25
"SHALLOTS PEELED 5# EA","Chef's Produce","Uncategorized","Each (EA)",1,27
"Caprili Brunello di Montalcino 12x750ml Bt 2020","Johnson Brothers Maverick of Texas","Uncategorized","Unknown",1,456
"CINNAMON STICKS 6" BAG 1# EA","Chef's Produce","Uncategorized","Each (EA)",1,12.25
"Cavallotto Barolo Bricco Boschis 12x750ml Bt 2020","Johnson Brothers Maverick of Texas","Uncategorized","Unknown",0,924
"CARROTS JUMBO CALIFORNIA 50# LB","Chef's Produce","Produce","Pound (LB/#)",10,1.56
"Failla Olivet Ranch Chardonnay 12x750ml Bt 2022","Johnson Brothers Maverick of Texas","Uncategorized","Unknown",0,486
"Dominio de Pingus Flor de Pingus 12x750ml Bt 2023","Johnson Brothers Maverick of Texas","Uncategorized","Unknown",0,1140
"ROSEMARY FRESH 1# HV","Chef's Produce","Uncategorized","Unknown",1,7
"TARRAGON FRESH 1# HV","Chef's Produce","Uncategorized","Unknown",1,19.95
"Gerard Boulay Sancerre Blanc 12x750ml Bt 2024","Johnson Brothers Maverick of Texas","Uncategorized","Unknown",1,372
"Grgich Hills Yountville Cabernet Sauvignon 6x750ml Bt 2016","Johnson Brothers Maverick of Texas","Uncategorized","Unknown",0,895.44
"Hanzell Estate Chardonnay 6x750ml Bt 2021","Johnson Brothers Maverick of Texas","Uncategorized","Unknown",1,319.5
"ORANGES BLOOD FANCY 20# AV LB","Chef's Produce","Produce","Pound (LB/#)",5,4.19
"FRZ GUAVA PINK PUREE 6/2.2#","Mr. Greens","Uncategorized","Unknown",2,100.95
"MAAL Bestial Malbec 6x750ml Bt 2020","Johnson Brothers Maverick of Texas","Uncategorized","Unknown",1,240
"FRZ GUAVA PINK PUREE 6/2.2#","Mr. Greens","Uncategorized","Unknown",5,18.69
"FRZ MANGO PUREE 6/2.2#","Mr. Greens","Uncategorized","Unknown",2,119.73
"Pierre Gaillard Cote Rotie Rose Pourpre 12x750ml Bt 2022","Johnson Brothers Maverick of Texas","Uncategorized","Unknown",0,1188
"FRZ PASSION FRUIT PUREE 6/2.2#","Mr. Greens","Uncategorized","Unknown",2,121.62
"LETTUCE WATERCRESS / B&W 2/1.5# CS","Chef's Produce","Produce","Case (CS)",1,25.5
"DELOUIS CHAMPAGNE VIN FR 2/5 LT BC PIt#: 5","The Chefs Warehouse","Uncategorized","Unknown",1,71.5
"SPC GOCHUGARU COARSE KOREAN 10/1 KG BC PIt#: 5","The Chefs Warehouse","Uncategorized","Unknown",1,110
"WA SHIO KOJI 8/500 ML BC PIt#: 5","The Chefs Warehouse","Uncategorized","Unknown",2,110
"WA GOLDEN SESAME OIL 6/1.8 LT BC PIt#: 5","The Chefs Warehouse","Dry Goods & Pantry","Unknown",1,165
"SPC MUSTARD POWDER 12/16 OZ BC PIt#: 5","The Chefs Warehouse","Uncategorized","Ounce (OZ)",1,192.5
"CHS RICOTTA DEL PASTAIO GRANDE 2/5 LB BC PIt#: 5","The Chefs Warehouse","Dry Goods & Pantry","Pound (LB/#)",1,3.3
"CORNICHONS 1/9 LB PC PIt#: 5","The Chefs Warehouse","Uncategorized","Pound (LB/#)",1,24.49
"FLUID*COSMO BARD PRI PRM 6P+14 750mL","Republic National Distributing Company","Uncategorized","Unknown",1,636
"SPC KOSHER SALT 12/3 LB CS PIt#: 5","The Chefs Warehouse","Dry Goods & Pantry","Case (CS)",1,50
"PROS ITALIANO IMPORTED SLICED 4/1 LB PIt#: 5","The Chefs Warehouse","Uncategorized","Pound (LB/#)",2,77
"HUNDRED ACRE CAB WRKING MYSP+14 750mL","Republic National Distributing Company","Uncategorized","Unknown",1,1731
"LOKOYA CAB DIAMOND MTN 3PK +14 750mL","Republic National Distributing Company","Uncategorized","Unknown",1,1200
"BIONDI SANTI ANN BRUNELLO 750mL","Republic National Distributing Company","Uncategorized","Unknown",3,215.75
"CAPUTO 00 PIZZA FLOUR BLUE 1/25 KG CS PIt#: 5","The Chefs Warehouse","Dry Goods & Pantry","Case (CS)",1,52.86
"CHOC RDC COCOA NIBS 12/1 KG BC PIt#: 5","The Chefs Warehouse","Uncategorized","Unknown",1,495
"CHIPS S/S 4000 CT 1/25 LB CS PIt#: 5","The Chefs Warehouse","Uncategorized","Case (CS)",1,180
"DOM FAIVELEY MAZIS CHAMBERTIN 750mL","Republic National Distributing Company","Uncategorized","Unknown",3,2622
"FORTUNATE SON CAB WARRIOR +14 750mL","Republic National Distributing Company","Seafood","Unknown",1,829.5
"GAJA BARBARESCO 6PK 750mL","Republic National Distributing Company","Uncategorized","Unknown",1,1686
"CH BEAN SEJOUR BECOT ADU 750mL","Republic National Distributing Company","Uncategorized","Unknown",6,150.92
"CH DUCRU BEAUCAILLOU 6PK 750mL","Republic National Distributing Company","Uncategorized","Unknown",3,277.25
