SKU,Item Name,Vendor Code,Purchase UOM,Pack Size,Inventory UOM,Conversion Factor,Measure Type,Recipe UOM
IT11916,"Agave Nectar 1gal","","case","1ea","ea",1,Each,"oz"
IT11916,"Agave Nectar 1gal","","case","1ea","ea",1,Each,"oz"
IT9703943,"Agave Nectar 1lb","9703943","case","44/1lb","lb",704,Each,"oz"
IT9703943,"Agave Nectar 1lb","9703943","case","11/1lb","lb",176,Each,"oz"
IT151285,"Agave Nectar, South Beach Organic 1.5gal","151285","case","4/1.5gal","gal",768,Each,"oz"
IT981534,"Alchemist Passion Syrup 750ml","981534","bottle","750mL","mL",25.3605,Each,"oz"
IT981534,"Alchemist Passion Syrup 750ml","981534","bottle","750mL","mL",25.3605,Each,"oz"
IT38000,"Angostura Bitters 16fl.oz","38000","case","12/16oz","oz",192,Each,"oz"
IT198448,"Angostura, Orange Bitters 4fl.oz","198448","bottle","4oz","oz",4,Each,"oz"
IT1096404,"Badger Bev Ginger Beer 250ml","1096404","case","24/250mL","mL",202.884,Each,"oz"
IT24000,"Basil - Bev 1lb","24000","bottle","1lb","lb",16,Each,"oz"
IT24000,"Basil - Bev 1lb","","case","1ea","ea",1,Each,"oz"
IT102228,"BIB - Coke 2.5gal","102228","bottle","2.5gal","gal",320,Each,"oz"
BARC000001,"BIB - Coke 5gal","","bottle","5gal","gal",640,Each,"oz"
BARC000002,"BIB - Cranberry 2.5gal","","bottle","2.5gal","gal",320,Each,"oz"
BARC000003,"BIB - Diet Coke - Bev 5gal","","bottle","5gal","gal",640,Each,"oz"
BARC000003,"BIB - Diet Coke - Bev 5gal","","bottle","5gal","gal",640,Each,"oz"
IT102230,"BIB - Diet Coke 2.5gal","","bottle","2.5gal","gal",320,Each,"oz"
IT102230,"BIB - Diet Coke 2.5gal","102230","bottle","2.5gal","gal",320,Each,"oz"
BARC000004,"BIB - Ginger Ale 2.5gal","","bottle","2.5gal","gal",320,Each,"oz"
BARC000004,"BIB - Ginger Ale 2.5gal","","bottle","2.5gal","gal",320,Each,"oz"
BARC000005,"BIB - Lemonade 2.5gal","","bottle","2.5gal","gal",320,Each,"oz"
IT6323414,"BIB - Orange Juice 2.5gal","6323414","bottle","2.5gal","gal",320,Each,"oz"
BARC000006,"BIB - Sprite - Bev 5gal","","bottle","5gal","gal",640,Each,"oz"
BARC000006,"BIB - Sprite - Bev 5gal","","bottle","5gal","gal",640,Each,"oz"
IT102235,"BIB - Sprite 2.5gal","102235","bottle","2.5gal","gal",320,Each,"oz"
BARC000007,"BIB - Tonic 2.5gal","","bottle","2.5gal","gal",320,Each,"oz"
BARC000008,"BIB - Unsweetened Ice Tea 2.5gal","","bottle","2.5gal","gal",320,Each,"oz"
IT41040,"Blackberries 1each","","bottle","750mL","mL",25.3605,Each,"oz"
IT41040,"Blackberries 1each","9557","case","3/1each","each",3,Each,"oz"
IT41040,"Blackberries 1each","41040","bottle","1each","each",1,Each,"oz"
BARC000009,"Blackberry Syrup 0.5gal","","bottle","0.5gal","gal",64,Each,"oz"
BARC000010,"Blackberry Syrup 1each","","bottle","1each","each",1,Each,"oz"
IT1452,"Blood Orange - Bev 1case","1452","bottle","1each","each",1,Each,"oz"
IT14131,"Blue Cheese Olives 1lb","14131","bottle","1L","L",33.814,Each,"oz"
IT14131,"Blue Cheese Olives 1lb","14131","case","4/1lb","lb",64,Each,"oz"
IT14131,"Blue Cheese Olives 1lb","14131","bottle","1lb","lb",16,Each,"oz"
IT12002,"Blueberries 6oz","","bottle","6oz","oz",6,Each,"oz"
IT12002,"Blueberries 6oz","12002","case","12/6oz","oz",72,Each,"oz"
IT9247646,"Blueberry Puree Syrup 16.9fl.oz","9247646","bottle","16.9oz","oz",16.9,Each,"oz"
IT18699,"Borage Blossom 100each","18699","bottle","100each","each",100,Each,"oz"
BARC000011,"BS Logo 2"Ice Cubes 1each 1each","","bottle","750mL","mL",25.3605,Each,"oz"
BARC000011,"BS Logo 2"Ice Cubes 1each 1each","","case","100/1each","each",100,Each,"oz"
BARC000011,"BS Logo 2"Ice Cubes 1each 1each","","case","8/1each","each",8,Each,"oz"
BARC000011,"BS Logo 2"Ice Cubes 1each 1each","","case","48/1each","each",48,Each,"oz"
IT3613006,"Bundaberg Ginger Beer 12.7fl.oz","3613006","case","24/12.7oz","oz",304.8,Each,"oz"
IT4395612,"Cane Sugar 1lb","","bottle","1L","L",33.814,Each,"oz"
IT4395612,"Cane Sugar 1lb","4395612","case","25/1lb","lb",400,Each,"oz"
