SKU,Item Name,Vendor Code,Purchase UOM,Pack Size,Inventory UOM,Conversion Factor,Measure Type,Recipe UOM
FDGENORANGE,"Orange Juice - 100% Cold Pressed (3L)","","bottle","3L","L",3,Each,"L"
FDDAIORANGE,"Orange SK Choice","","each","1each","each",1,Each,"unit"
FDDAIORANGE,"Orange SK Choice","","case","1ea","ea",1,Each,"unit"
FDCHEORANGE01,"Oranges Blood Fancy 15# LB","","bag","15lb","lb",15,Each,"unit"
FDCHEORANGE01,"Oranges Blood Fancy 15# LB","","case","1ea","ea",1,Each,"unit"
FDCHEORANGE,"Oranges California","","each","1each","each",1,Each,"unit"
FDCHEORANGE,"Oranges California","","case","1ea","ea",1,Each,"unit"
FDSYSOUT201,"OUT CS 20100 Chips & Blend Times 1 Class 210 Berking","","each","1each","each",1,Each,"unit"
FDSYSOUT201,"OUT CS 20100 Chips & Blend Times 1 Class 210 Berking","","case","1ea","ea",1,Each,"unit"
FDCHEPARCHM,"Parchment Paper Full Sheet 1/1000 CT","","case","1000/1each","each",1000,Each,"unit"
FDCHEPARCHM,"Parchment Paper Full Sheet 1/1000 CT","","case","1ea","ea",1,Each,"unit"
FDTHEPARCHM,"Parchment Paper Full Sheet 1/1000 CT","","case","1000/1each","each",1000,Each,"unit"
FDTHEPARCHM,"Parchment Paper Full Sheet 1/1000 CT","","case","1ea","ea",1,Each,"unit"
FDMRGPARSNI,"Parsnip 20 # Return Credit","","case","1ea","ea",1,Each,"unit"
FDMRGPARSNI,"Parsnip 20 # Return Credit","","bag","20lb","lb",20,Each,"unit"
FDGENPARTID,"Partida Pristine Purpd Vlnk 6 Moz 1","","each","1each","each",1,Each,"unit"
FDCHEPEPPER,"Peppers Fresno RED 10-av HV","","each","1each","each",1,Each,"unit"
FDCHEPEPPER,"Peppers Fresno RED 10-av HV","","case","1ea","ea",1,Each,"unit"
FDTHEPEPPER,"Peppers Piquillo 6/2 KG BC Pit#: 2","","case","6/2kg","kg",12,Each,"unit"
FDTHEPEPPER,"Peppers Piquillo 6/2 KG BC Pit#: 2","","case","1ea","ea",1,Each,"unit"
FDCHEPEPPER01,"Peppers Serrano 30# LB","","bag","30lb","lb",30,Each,"unit"
FDCHEPEPPER01,"Peppers Serrano 30# LB","","case","1ea","ea",1,Each,"unit"
FDTHEPETRAC,"Petra Crispy Dark Chocolate 51% 6/900 GR","","each","1each","each",1,Each,"unit"
FDTHEPETRAC,"Petra Crispy Dark Chocolate 51% 6/900 GR","","case","1ea","ea",1,Each,"unit"
FDGENPINEAP,"Pineapple Juice - 100% Cold Pressed (3L)","","bottle","3L","L",3,Each,"L"
FDMARPISTAC,"Pistachio Shelled 1/5 LB","","case","5lb","lb",5,Each,"unit"
FDMARPISTAC,"Pistachio Shelled 1/5 LB","","case","1ea","ea",1,Each,"unit"
FDCHEPISTAC,"Pistachios RAW Shelled 5#","","bag","5lb","lb",5,Each,"unit"
FDCHEPISTAC,"Pistachios RAW Shelled 5#","","case","1ea","ea",1,Each,"unit"
PIZZADOUGH14OZ,"Pizza Dough 14oz","","bottle","14oz","oz",14,Each,"ea"
FDGENPOTATO,"Potato Mashed Pellets 5/5.5 LB","","case","5/5.5lb","lb",27.5,Each,"unit"
FDTHEPOTATO,"Potato Mashed Pellets 5/5.5 LB","","case","5/5.5lb","lb",27.5,Each,"unit"
FDTHEPOTATO,"Potato Mashed Pellets 5/5.5 LB","","case","1ea","ea",1,Each,"unit"
FDCHEPOTATO02,"Potato Mashed Pellets 5/5.5 LB","","case","5/5.5lb","lb",27.5,Each,"unit"
FDCHEPOTATO02,"Potato Mashed Pellets 5/5.5 LB","","case","1ea","ea",1,Each,"unit"
FDCHEPOTATO01,"Potato Mashed Pellets 5/5.5 LB CS Pit#: 9","","case","5/5.5lb","lb",27.5,Each,"unit"
FDCHEPOTATO01,"Potato Mashed Pellets 5/5.5 LB CS Pit#: 9","","case","1ea","ea",1,Each,"unit"
FDCHEPOTATO,"Potato Mashed Pellets 5/6.5 LB","","case","5/6.5lb","lb",32.5,Each,"unit"
FDCHEPOTATO,"Potato Mashed Pellets 5/6.5 LB","","case","1ea","ea",1,Each,"unit"
FDCHEPOTATO03,"Potatoes Russet Idaho","","each","1each","each",1,Each,"unit"
FDCHEPOTATO03,"Potatoes Russet Idaho","","case","1ea","ea",1,Each,"unit"
15043,"Puree- Mandarin Orange CASE 6kg","15043","each","6kg","kg",6,Weight,"oz"
FDCHERADISH,"Radishes French Breakfast EA","","each","1each","each",1,Each,"unit"
FDCHERADISH,"Radishes French Breakfast EA","","case","1ea","ea",1,Each,"unit"
FDREGREGALI01,"Regalis Black Maitake, Canadian - 3 Lb Cs Avg (18 Lb Master Cs) $/lb - 5 Boxes Of Maitake Mushrooms","","case","1ea","ea",1,Each,"unit"
FDREGREGALI01,"Regalis Black Maitake, Canadian - 3 Lb Cs Avg (18 Lb Master Cs) $/lb - 5 Boxes Of Maitake Mushrooms","","bag","3lb","lb",3,Each,"unit"
FDREGREGALI,"Regalis Black Maitake, Canadian - 3 Lb Cs Avg (18 Lb Master Cs) $/lb - 6 Cs Maitake","","bag","3lb","lb",3,Each,"unit"
FDREGREGALI,"Regalis Black Maitake, Canadian - 3 Lb Cs Avg (18 Lb Master Cs) $/lb - 6 Cs Maitake","","case","1ea","ea",1,Each,"unit"
FDGENREMOTE,"Remote Socket, Piper 27.1 X 19.1/ 8030170","","each","1each","each",1,Each,"unit"
FDGENRIEDEL,"Riedel Decanter Amadeo 1756 5302 1 750ML","","bottle","750mL","mL",750,Each,"unit"
FDSPERIEDEL02,"Riedel Decanter Amadeo 1756 530Z","","case","1ea","ea",1,Each,"unit"
FDSPERIEDEL02,"Riedel Decanter Amadeo 1756 530Z","","each","1each","each",1,Each,"unit"
FDSPERIEDEL01,"Riedel Decanter Cornetto Ma 62.5","","each","1each","each",1,Each,"unit"
FDSPERIEDEL01,"Riedel Decanter Cornetto Ma 62.5","","case","1ea","ea",1,Each,"unit"
FDSPERIEDEL,"Riedel Rest. Decanter Caber 370Z","","case","1ea","ea",1,Each,"unit"
FDSPERIEDEL,"Riedel Rest. Decanter Caber 370Z","301618","each","1each","each",1,Each,"unit"
FDCHEROSEMA,"Rosemary Fresh 1# LB","01036","bag","1lb","lb",1,Each,"unit"
FDCHEROSEMA,"Rosemary Fresh 1# LB","","case","1ea","ea",1,Each,"unit"
FDTHERUSTIC,"Rustichella Riccia 12/1.1 LB","","case","12/1.1lb","lb",13.2,Each,"unit"
FDTHERUSTIC,"Rustichella Riccia 12/1.1 LB","","case","1ea","ea",1,Each,"unit"
FDCHESHALLO,"Shallots Peeled 5# EA","00641","bag","5lb","lb",5,Each,"unit"
FDCHESHALLO,"Shallots Peeled 5# EA","","case","1ea","ea",1,Each,"unit"
FDRARSHIPPI,"Shipping AND Handling - Charge Ground Send Overnight","","each","1each","each",1,Each,"unit"
FDRARSHIPPI,"Shipping AND Handling - Charge Ground Send Overnight","","case","1ea","ea",1,Each,"unit"
FDMRGSHISOL,"Shiso Leaves Green 50 CT","22012","case","50/1each","each",50,Each,"unit"
FDMRGSHISOL,"Shiso Leaves Green 50 CT","","case","1ea","ea",1,Each,"unit"
FDTHEBLACKN,"SM Black Nitrile Gloves 10/100 CT","","case","100/1each","each",100,Each,"unit"
FDTHEBLACKN,"SM Black Nitrile Gloves 10/100 CT","","case","1ea","ea",1,Each,"unit"
FDEMPSOURDO,"Sourdough Round","","each","1each","each",1,Each,"unit"
FDEMPSOURDO,"Sourdough Round","","case","1ea","ea",1,Each,"unit"
FDTHESPCBAY,"SPC BAY Leaves 1/10 OZ PC","","case","10oz","oz",10,Each,"unit"
FDTHESPCBAY,"SPC BAY Leaves 1/10 OZ PC","","case","1ea","ea",1,Each,"unit"
FDTHESPCCIN,"SPC Cinnamon Korintje Ground 1/16 OZ PC","","case","16oz","oz",16,Each,"unit"
FDTHESPCCIN,"SPC Cinnamon Korintje Ground 1/16 OZ PC","","case","1ea","ea",1,Each,"unit"
FDTHESPCCOR,"SPC Coriander Seed Whole 1/9 OZ PC","","case","9oz","oz",9,Each,"unit"
FDTHESPCCOR,"SPC Coriander Seed Whole 1/9 OZ PC","","case","1ea","ea",1,Each,"unit"
FDTHESPCGOC01,"SPC Gochugaru Coarse Korean 10/1 KG","","case","10/1kg","kg",10,Each,"unit"
FDTHESPCGOC01,"SPC Gochugaru Coarse Korean 10/1 KG","","case","1ea","ea",1,Each,"unit"
FDTHESPCGOC,"SPC Gochugaru Coarse Korean 10/1 KG BC Pit#: 5","","case","10/1kg","kg",10,Each,"unit"
FDTHESPCGOC,"SPC Gochugaru Coarse Korean 10/1 KG BC Pit#: 5","","case","1ea","ea",1,Each,"unit"
FDTHESPCMUS01,"SPC Mustard Powder 12/16 OZ BC Pit#: 2","","case","12/16oz","oz",192,Each,"unit"
FDTHESPCMUS01,"SPC Mustard Powder 12/16 OZ BC Pit#: 2","","case","1ea","ea",1,Each,"unit"
FDTHESPCMUS,"SPC Mustard Powder 12/16 OZ BC Pit#: 5","","case","12/16oz","oz",192,Each,"unit"
FDTHESPCMUS,"SPC Mustard Powder 12/16 OZ BC Pit#: 5","","case","1ea","ea",1,Each,"unit"
FDTHESPCNUT,"SPC Nutmeg Whole 1/16 OZ PC","","case","16oz","oz",16,Each,"unit"
FDTHESPCNUT,"SPC Nutmeg Whole 1/16 OZ PC","","case","1ea","ea",1,Each,"unit"
FDCHESPCNUT,"SPC Nutmeg Whole 1/16 OZ PC","","case","16oz","oz",16,Each,"unit"
FDCHESPCNUT,"SPC Nutmeg Whole 1/16 OZ PC","","case","1ea","ea",1,Each,"unit"
FDCHESPCOLD,"SPC OLD BAY Seasoning 12/16 OZ","","case","12/16oz","oz",192,Each,"unit"
FDCHESPCOLD,"SPC OLD BAY Seasoning 12/16 OZ","","case","1ea","ea",1,Each,"unit"
FDTHESPCOLD,"SPC OLD BAY Seasoning 12/16 OZ BC Pit#: 2","","case","12/16oz","oz",192,Each,"unit"
FDTHESPCOLD,"SPC OLD BAY Seasoning 12/16 OZ BC Pit#: 2","","case","1ea","ea",1,Each,"unit"
FDCHESPCPAP,"SPC Paprika Spanish 1/5 LB PC Pi#: 5","","case","5lb","lb",5,Each,"unit"
FDCHESPCPAP,"SPC Paprika Spanish 1/5 LB PC Pi#: 5","","case","1ea","ea",1,Each,"unit"
FDTHESPCPAP,"SPC Paprika Spanish Broken/redum 1/5 LB PC","","case","5lb","lb",5,Each,"unit"
FDTHESPCPAP,"SPC Paprika Spanish Broken/redum 1/5 LB PC","","case","1ea","ea",1,Each,"unit"
FDTHESPCPEP,"SPC Peppercorns Sichuan RED 20/16 OZ","","case","20/16oz","oz",320,Each,"unit"
FDTHESPCPEP,"SPC Peppercorns Sichuan RED 20/16 OZ","","case","1ea","ea",1,Each,"unit"
FDTHESPCSES02,"SPC Sesame Seeds Black 1/16 OZ PC","","case","16oz","oz",16,Each,"unit"
FDTHESPCSES02,"SPC Sesame Seeds Black 1/16 OZ PC","","case","1ea","ea",1,Each,"unit"
FDTHESPCSES01,"SPC Sesame Seeds White Hulled 1/16 OZ PC","","case","16oz","oz",16,Each,"unit"
FDTHESPCSES01,"SPC Sesame Seeds White Hulled 1/16 OZ PC","","case","1ea","ea",1,Each,"unit"
FDCHESPCSES,"SPC Sesame Seeds White Hulled 1/5 OZ PC","","case","5oz","oz",5,Each,"unit"
FDCHESPCSES,"SPC Sesame Seeds White Hulled 1/5 OZ PC","","case","1ea","ea",1,Each,"unit"
FDTHESPCSES,"SPC Sesame Seeds White Hulled 1/5 OZ PC","","case","5oz","oz",5,Each,"unit"
FDTHESPCSES,"SPC Sesame Seeds White Hulled 1/5 OZ PC","","case","1ea","ea",1,Each,"unit"
FDTHESPCSTA,"SPC Star Anise Whole 1/8 OZ PC","","case","8oz","oz",8,Each,"unit"
FDTHESPCSTA,"SPC Star Anise Whole 1/8 OZ PC","","case","1ea","ea",1,Each,"unit"
FDTHESPCTAJ,"SPC Tajin 6/2 LB","","case","6/2lb","lb",12,Each,"unit"
FDTHESPCTAJ,"SPC Tajin 6/2 LB","","case","1ea","ea",1,Each,"unit"
FDCHESPCTUR,"SPC Turmeric Ground 1/16 OZ PC","","case","16oz","oz",16,Each,"unit"
FDCHESPCTUR,"SPC Turmeric Ground 1/16 OZ PC","","case","1ea","ea",1,Each,"unit"
FDTHESPCTUR,"SPC Turmeric Ground 1/16 OZ PC","","case","16oz","oz",16,Each,"unit"
FDTHESPCTUR,"SPC Turmeric Ground 1/16 OZ PC","","case","1ea","ea",1,Each,"unit"
FDGENSQUASH,"Squash Acorn Green 35# LB","","bag","35lb","lb",35,Each,"unit"
FDMRGSQUASH,"Squash Kabocha","","each","1each","each",1,Each,"unit"
FDMRGSQUASH,"Squash Kabocha","","case","1ea","ea",1,Each,"unit"
FDCHESQUASH,"Squash RED Kuri 32#av LB","","each","1each","each",1,Each,"unit"
FDCHESQUASH,"Squash RED Kuri 32#av LB","","case","1ea","ea",1,Each,"unit"
FDFARSQUASH,"Squash, Butternut (40lbs) 2L","","bag","40lb","lb",40,Each,"unit"
FDFARSQUASH,"Squash, Butternut (40lbs) 2L","","case","1ea","ea",1,Each,"unit"
FDCHESUMACG,"Sumac Ground JAR 1.5# EA","","bag","1.5lb","lb",1.5,Each,"unit"
FDCHESUMACG,"Sumac Ground JAR 1.5# EA","","case","1ea","ea",1,Each,"unit"
FDSYSSYSCOC,"Sysco CLS Rib Pier Char B&C","","each","1each","each",1,Each,"unit"
FDSYSSYSCOC,"Sysco CLS Rib Pier Char B&C","","case","1ea","ea",1,Each,"unit"
FDMARSYSCOM,"Sysco Maple Pure Amber-grade A","","each","1each","each",1,Each,"unit"
FDMARSYSCOM,"Sysco Maple Pure Amber-grade A","","case","1ea","ea",1,Each,"unit"
FDCHETABASC,"Tabasco Sriracha 6/20 OZ","","case","6/20oz","oz",120,Each,"unit"
FDCHETABASC,"Tabasco Sriracha 6/20 OZ","","case","1ea","ea",1,Each,"unit"
FDGENTABASC,"Tabasco Sriracha 6/20 OZ","","case","6/20oz","oz",120,Each,"unit"
FDMRGTARORO,"Taro Root","","each","1each","each",1,Each,"unit"
FDMRGTARORO,"Taro Root","","case","1ea","ea",1,Each,"unit"
FDCHETARRAG,"Tarragon Fresh 1# LB","","bag","1lb","lb",1,Each,"unit"
FDCHETARRAG,"Tarragon Fresh 1# LB","","case","1ea","ea",1,Each,"unit"
FDTHETARTSH,"Tart Shell Graham Round 2 IN 1/100 CT","","case","100/1each","each",100,Each,"unit"
FDTHETARTSH,"Tart Shell Graham Round 2 IN 1/100 CT","","case","1ea","ea",1,Each,"unit"
FDCHETARTSH01,"Tart Shell Graham Round 2 IN 1/100 CT","","case","100/1each","each",100,Each,"unit"
FDCHETARTSH01,"Tart Shell Graham Round 2 IN 1/100 CT","","case","1ea","ea",1,Each,"unit"
FDCHETARTSH,"Tart Shell Graham Round 4 IN 1/40","","each","1each","each",1,Each,"unit"
FDCHETARTSH,"Tart Shell Graham Round 4 IN 1/40","","case","1ea","ea",1,Each,"unit"
FDGENTARTSH,"Tart Shell Graham Round 4 IN 1/40 CT","","case","40/1each","each",40,Each,"unit"
FDCHETARTSH03,"Tart Shell Graham Round 4 IN 1/40 CT","","case","40/1each","each",40,Each,"unit"
FDCHETARTSH03,"Tart Shell Graham Round 4 IN 1/40 CT","","case","1ea","ea",1,Each,"unit"
FDTHETARTSH02,"Tart Shell Graham Round 4 IN 1/40 CT","","case","40/1each","each",40,Each,"unit"
FDTHETARTSH02,"Tart Shell Graham Round 4 IN 1/40 CT","","case","1ea","ea",1,Each,"unit"
FDCHETARTSH02,"Tart Shell Lemon Round 2 IN 1/100 CT","","case","100/1each","each",100,Each,"unit"
FDCHETARTSH02,"Tart Shell Lemon Round 2 IN 1/100 CT","","case","1ea","ea",1,Each,"unit"
FDTHETARTSH01,"Tart Shell Lemon Round 2 IN 1/100 CT","","case","100/1each","each",100,Each,"unit"
FDTHETARTSH01,"Tart Shell Lemon Round 2 IN 1/100 CT","","case","1ea","ea",1,Each,"unit"
FDCHETHYMEF,"Thyme Fresh 1# LB","01046","bag","1lb","lb",1,Each,"unit"
FDCHETHYMEF,"Thyme Fresh 1# LB","","case","1ea","ea",1,Each,"unit"
FDCHETISSUE,"Tissue Toilet 2PLY 500SHT Tork 1/96 CT CS Pi#: 5","","case","1ea","ea",1,Each,"unit"
FDCHETISSUE,"Tissue Toilet 2PLY 500SHT Tork 1/96 CT CS Pi#: 5","","case","96/1each","each",96,Each,"unit"
TOMATOSAUCEQT,"Tomato Sauce (qt)","","bottle","750mL","mL",750,Each,"qt"
FDGENTOMATO,"Tomatoes 4X4","","each","1each","each",1,Each,"unit"
FDCHETOMATO01,"Tomatoes 4X4","","each","1each","each",1,Each,"unit"
FDCHETOMATO01,"Tomatoes 4X4","","case","1ea","ea",1,Each,"unit"
FDCHETOMATO,"Tomatoes MX Chry Hrlm Pnts 12/ CS","00919","case","12/1each","each",12,Each,"unit"
FDCHETOMATO,"Tomatoes MX Chry Hrlm Pnts 12/ CS","","case","1ea","ea",1,Each,"unit"
FDGENTRUFFL,"Truffle Pate Sabatino 17.64 OZ","","bottle","17.64oz","oz",17.64,Each,"unit"
FDGENTRUFFL01,"Truffle Pate Sabatino 6/17.64 OZ","","case","6/17.64oz","oz",105.84,Each,"unit"
FDCHETRUFFL,"Truffle Pate Sabatino 6/17.64 OZ","","case","6/17.64oz","oz",105.84,Each,"unit"
FDCHETRUFFL,"Truffle Pate Sabatino 6/17.64 OZ","","case","1ea","ea",1,Each,"unit"
FDREGUWAJIM,"Uwajima Hamachi Loin $","","each","1each","each",1,Each,"unit"
FDREGUWAJIM,"Uwajima Hamachi Loin $","","case","1ea","ea",1,Each,"unit"
FDREGUWAJIM01,"Uwajima Hamachi Loin $/lb - 1CS Hamachi Loins","","each","1each","each",1,Each,"unit"
FDREGUWAJIM01,"Uwajima Hamachi Loin $/lb - 1CS Hamachi Loins","","case","1ea","ea",1,Each,"unit"
FDRARVACALO,"Vaca Long Lived Japanese Wagyu Striploin (10lb Avg)","","bag","10lb","lb",10,Each,"unit"
FDRARVACALO,"Vaca Long Lived Japanese Wagyu Striploin (10lb Avg)","","case","1ea","ea",1,Each,"unit"
FDTHEVALCOC,"VAL Cocoa Powder Dutch 3KG 6/3 KG","","case","6/3kg","kg",18,Each,"unit"
FDTHEVALCOC,"VAL Cocoa Powder Dutch 3KG 6/3 KG","","case","1ea","ea",1,Each,"unit"
FDTHEVEALBO,"Veal Bones Mixed-frozen 1/50 LB CS Pit#: 9","","case","50lb","lb",50,Each,"unit"
FDTHEVEALBO,"Veal Bones Mixed-frozen 1/50 LB CS Pit#: 9","","case","1ea","ea",1,Each,"unit"
FDALLVEALMI,"Veal Mixed Bones 50# CS FRZ","","bag","50lb","lb",50,Each,"unit"
FDALLVEALMI,"Veal Mixed Bones 50# CS FRZ","","case","1ea","ea",1,Each,"unit"
FDCHEVEGALE,"Vegalene PAN Coating Spray 6/17 OZ","","case","6/17oz","oz",102,Each,"unit"
FDCHEVEGALE,"Vegalene PAN Coating Spray 6/17 OZ","","case","1ea","ea",1,Each,"unit"
FDTHEVEGALE,"Vegalene PAN Coating Spray 6/17 OZ","","case","6/17oz","oz",102,Each,"unit"
FDTHEVEGALE,"Vegalene PAN Coating Spray 6/17 OZ","","case","1ea","ea",1,Each,"unit"
FDCHEMIRINS,"WA Mirin Suiji 6/1.8 LT BC Pit#: 2","","case","6/1.8L","L",10.8,Each,"unit"
FDCHEMIRINS,"WA Mirin Suiji 6/1.8 LT BC Pit#: 2","","case","1ea","ea",1,Each,"unit"
FDTHESHIOKO,"WA Shio Koji 8/500 ML","","case","8/500mL","mL",4000,Each,"unit"
FDTHESHIOKO,"WA Shio Koji 8/500 ML","","case","1ea","ea",1,Each,"unit"
FDCHESHIOKO,"WA Shio Koji 8/500 ML BC Pi#: 4","","case","8/500mL","mL",4000,Each,"unit"
FDCHESHIOKO,"WA Shio Koji 8/500 ML BC Pi#: 4","","case","1ea","ea",1,Each,"unit"
FDTHEYUZUKO,"WA Yuzu Kosho RED 12/2 OZ","","case","12/2oz","oz",24,Each,"unit"
FDTHEYUZUKO,"WA Yuzu Kosho RED 12/2 OZ","","case","1ea","ea",1,Each,"unit"
FDTHEYUZUKO01,"WA Yuzu Kosho RED 6/17.6 OZ","","case","6/17.6oz","oz",105.6,Each,"unit"
FDTHEYUZUKO01,"WA Yuzu Kosho RED 6/17.6 OZ","","case","1ea","ea",1,Each,"unit"
FDCHEYUZUKO01,"WA Yuzu Kosho RED 6/17.6 OZ BC Pi#: 4","","case","1ea","ea",1,Each,"unit"
FDCHEYUZUKO01,"WA Yuzu Kosho RED 6/17.6 OZ BC Pi#: 4","","case","6/17.6oz","oz",105.6,Each,"unit"
FDCHEYUZUKO,"WA Yuzu Kosho RED 6/17.6 OZ BC Pi#: 5","","case","6/17.6oz","oz",105.6,Each,"unit"
FDCHEYUZUKO,"WA Yuzu Kosho RED 6/17.6 OZ BC Pi#: 5","","case","1ea","ea",1,Each,"unit"
FDRARWADAMA,"Wadaman - Roasted White Sesame Seeds 1KG ()","","bag","1kg","kg",1,Each,"unit"
FDRARWADAMA,"Wadaman - Roasted White Sesame Seeds 1KG ()","","case","1ea","ea",1,Each,"unit"
FDDAIWAGYUC,"Wagyu Cocktail HOT DOG 32 1","","each","1each","each",1,Each,"unit"
FDDAIWAGYUC,"Wagyu Cocktail HOT DOG 32 1","","case","1ea","ea",1,Each,"unit"
FDTHEWAGYUH,"Wagyu HOT DOG Cocktail 32-1 2/5 LB","","case","2/5lb","lb",10,Each,"unit"
FDTHEWAGYUH,"Wagyu HOT DOG Cocktail 32-1 2/5 LB","","case","1ea","ea",1,Each,"unit"
FDALLWAGYUH,"Wagyu HOT Dogs 32/1 10# CS FRZ 10.00 LB","34080020-32-201","bag","10lb","lb",10,Each,"unit"
FDALLWAGYUH,"Wagyu HOT Dogs 32/1 10# CS FRZ 10.00 LB","","case","1ea","ea",1,Each,"unit"
FDTHEWALNUT,"Walnut Halves Pitt #7 (1/5 lb Box)","","case","5lb","lb",5,Each,"lb"
FDTHEWALNUT,"Walnut Halves Pitt #7 (1/5 lb Box)","","case","1ea","ea",1,Each,"lb"
FDJOHWARRES,"Warres Otima 10YR Tawny Port 500ML 6x750ml Bt","","bottle","500mL","mL",500,Each,"unit"
FDJOHWARRES,"Warres Otima 10YR Tawny Port 500ML 6x750ml Bt","","case","1ea","ea",1,Each,"unit"
FDMINWASABI,"Wasabi Grated Oroshi Kinjirushi Rc-808 Frz 2/6/1.76 Lb","","case","6/1.76lb","lb",10.56,Each,"unit"
FDMINWASABI,"Wasabi Grated Oroshi Kinjirushi Rc-808 Frz 2/6/1.76 Lb","","case","1ea","ea",1,Each,"unit"
FDTHEXANTHA,"Xanthan GUM 6/500 GR","","each","1each","each",1,Each,"unit"
FDTHEXANTHA,"Xanthan GUM 6/500 GR","","case","1ea","ea",1,Each,"unit"
FDTHEBLACKN02,"XL Black Nitrile Gloves 10/100 CT","","case","100/1each","each",100,Each,"unit"
FDTHEBLACKN02,"XL Black Nitrile Gloves 10/100 CT","","case","1ea","ea",1,Each,"unit"
ZABSHONEY1G,"Zab's Hot Honey 1gal","","bottle","1gal","gal",1,Volume,"gal"
64051,"1Goma Mamenorisan (Soy Paper) 1each","64051","case","40/1each","each",40,Each,"ea"
IT10102545,"46% Val Bahibe Milk Feves 1kg","10102545","case","3/1kg","kg",3,Each,"oz"
VN160031,"Achiote Paste 1oz","VN160031","case","14/1oz","oz",14,Each,"oz"
IT10872793,"Agar Agar 1lb","10872793","case","1lb","lb",16,Each,"oz"
IT10872793,"Agar Agar 1lb","","case","1ea","ea",1,Each,"oz"
10872793,"Agar Agar 500g","10872793","each","500g","g",17.637,Weight,"oz"
27572,"Agrumato, Lemon 250ml","27572","case","6/250ml","ml",1500,Volume,"oz"
IT27572,"Agrumato, Lemon 250ml","27572","case","6/250mL","mL",50.721,Each,"oz"
KAM01,"Ajisuke Kampyo,Seasoned gourd 1pack","KAM01","each","1each","each",1,Each,"oz"
IT230204RP,"Aleppo Pepper 1lb","230204RP","bag","1lb","lb",16,Each,"oz"
IT230204RP,"Aleppo Pepper 1lb","","case","1ea","ea",1,Each,"oz"
IT05329,"Almond 1lb","05329","case","5/1lb","lb",80,Each,"oz"
GF195A,"Almond Flour 1lb","GF195A","case","5/1lb","lb",80,Each,"oz"
17030,"Almond Paste 1lb","17030","case","10.5/1lb","lb",168,Volume,"oz"
IT17030,"Almond Paste 1lb","17030","case","10/1lb","lb",160,Each,"oz"
IT71501,"Almond, Sliced 1lb","71501","case","5/1lb","lb",80,Each,"oz"
71501,"Almond, Sliced 1lb","71501","case","5/1lb","lb",80,Volume,"oz"
12092,"Almond, Smoked 1lb","12092","case","25/1lb","lb",400,Volume,"oz"
IT12092,"Almond, Smoked 1lb","12092","case","25/1lb","lb",400,Each,"oz"
05329,"Almonds, Roasted 1lb","05329","case","5/1lb","lb",80,Volume,"oz"
12386,"Alta Cucina Tomatos 108oz","12386","case","6/108oz","oz",648,Volume,"oz"
IT12386,"Alta Cucina Tomatos 108oz","12386","case","6/108oz","oz",648,Each,"oz"
IT00190,"Ancho Chilie, Dry 1lb","00190","case","5/1lb","lb",80,Each,"oz"
IT18621,"Anchovy, Canned 28oz","18621","bottle","28oz","oz",28,Each,"oz"
IT19698,"Anchovy, White 1kg","19698","bag","1kg","kg",1,Each,"oz"
IT63034,"Aonoriko 3.5oz","63034","bottle","3.5oz","oz",3.5,Each,"oz"
IT02439,"AP Flour 1lb","02439","case","50/1lb","lb",800,Each,"oz"
IT02439,"AP Flour 1lb","09898","case","30/1lb","lb",480,Each,"oz"
IT10617143,"AP Flour Org Beehive 1lb 50lb","GF261","bag","1lb","lb",16,Each,"oz"
VN185105,"AP Flour, Enriched 1lb","VN185105","case","50/1lb","lb",800,Each,"oz"
IT01744,"Apple Cider Vinegar 1gal","","case","1ea","ea",1,Each,"oz"
IT01744,"Apple Cider Vinegar 1gal","05223","bottle","1gal","gal",128,Each,"oz"
IT01744,"Apple Cider Vinegar 1gal","","case","1ea","ea",1,Each,"oz"
IT01744,"Apple Cider Vinegar 1gal","","case","1ea","ea",1,Each,"oz"
IT10530321,"Apple Cider VInegar 200ml","10530321","bottle","200mL","mL",6.7628,Each,"oz"
GF341,"Apricot, Dried 1lb","GF341","case","5/1lb","lb",80,Each,"oz"
BC281407,"Arborio Rice 1lb","BC281407","case","24/1lb","lb",384,Each,"oz"
GV105,"Artichoke Hearts 1kg","GV105","case","15/1kg","kg",15,Each,"oz"
13946,"Artichoke Hearts, Marinated 1lb","13946","case","5.5/1lb","lb",88,Volume,"oz"
IT13946,"Artichoke Hearts, Marinated 1lb","13946","case","5/1lb","lb",80,Each,"oz"
IT25615,"Avocado Oil 1gal","25615","case","4/1gal","gal",512,Each,"oz"
UF49985N,"Avocado Oil 1gal","UF49985N","each","1gal","gal",128,Volume,"oz"
25615,"Avocado Oil Blend 1lb","25615","case","4/1lb","lb",64,Volume,"oz"
IT13038,"Baking Powder 1lb","13038","case","5/1lb","lb",80,Each,"oz"
IT400219,"Baking Soda 1lb","400219","case","5/1lb","lb",80,Each,"oz"
IT05225,"Balsamic Vinegar 1gal","05225","bottle","1gal","gal",128,Each,"oz"
BC100093,"Balsamic Vinegar 500ml","BC100093","case","6/500mL","mL",101.442,Each,"oz"
GV303,"Balsamic Vinegar, Manidcardi 100ml","GV303","bottle","100mL","mL",3.3814,Each,"oz"
GB344,"Banana Extract 1quart","GB344","each","1each","each",1,Each,"oz"
GB504N,"Banyuls Vinegar 500ml","GB504N","bottle","500mL","mL",16.907,Each,"oz"
